content,label,width,height,x_1,y_1,x_2,y_2,x_11,y_11,x_22,y_22,notes,extras
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/77d1f81a-bee6-487c-aff2-0efa31a9925c____bd7f7862-d727-11e7-ad30-e18a56154311.jpg.jpeg,number_plate,806,466,0.7220843672456576,0.5879828326180258,0.8684863523573201,0.6888412017167382,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/4eb236a3-6547-4103-b46f-3756d21128a9___06-Sanjay-Dutt.jpg.jpeg,number_plate,494,449,0.16194331983805668,0.8507795100222717,0.582995951417004,1,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/84969111-2ec3-4914-b3bb-da5aaac701e7___1.jpg.jpeg,number_plate,500,314,0.082,0.697452229299363,0.23,0.8280254777070064,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/52b45060-9645-47c7-882d-b69a5bf07eff___1006372d1351343820-my-new-maruti-swift-zxi-21102012241.jpg.jpeg,number_plate,500,469,0.434,0.6673773987206824,0.718,0.7654584221748401,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/5d08ee4a-d8e7-4fda-8959-21f263f62c25___100923d1368191518-custom-number-plates-embossedplates1.jpg.jpeg,number_plate,1001,563,0.2087912087912088,0.3907637655417407,0.8651348651348651,0.9840142095914742,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/18d2b870-7817-46da-a59a-6406c1b472c9___1033.png,number_plate,416,431,0.2548076923076923,0.6496519721577726,0.6274038461538461,0.777262180974478,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/8b9e7112-9149-48fb-b8e8-c3e89cce5af0___1074650_10201043987997310_227646612_o.jpg.jpeg,number_plate,551,455,0.41197822141560797,0.5296703296703297,0.8058076225045372,0.6923076923076923,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/be483d11-33f0-4c1f-87b6-9844eea28996___1093346d1370435964-take-look-number-plate-photo.jpg.jpeg,number_plate,550,537,0.48545454545454547,0.4618249534450652,0.72,0.595903165735568,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/ab573806-1da7-4ccf-93c8-6082e0cc15c3___1107433d1373284570-my-modded-skoda-rapid-now-166-bhp-351-nm-119-whp-per-tonne-hdr_00005_normal.jpg.jpeg,number_plate,1569,1119,0.41075794621026895,0.45371428571428574,0.5688671556642216,0.5165714285714286,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/dfedf2ad-6596-48d4-a7f6-171e55c8f637___1160575d1383218860-high-security-registration-plates-hsrp-india-wp_20131030_16_01_22_pro.jpg.jpeg,number_plate,1632,918,0.4132029339853301,0.39710144927536234,0.58679706601467,0.6231884057971014,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/8edca6de-d964-4027-823d-f70d3f872412___12042943_1003224833031653_9073848483429898813_n.jpg.jpeg,number_plate,642,400,0.3115264797507788,0.345,0.6573208722741433,0.5475,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/f265077a-611f-4a18-abe5-46518b1756e6___1232700-take-look-number-plate-uploadfromtaptalk1398055489406.jpg.jpeg,number_plate,1024,769,0.33984375,0.49154746423927176,0.4873046875,0.5682704811443433,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/11186c4c-5f17-49b1-af37-a138a1e53794___12837944763_e7c6c6381a_z.jpg.jpeg,number_plate,640,435,0.3359375,0.42758620689655175,0.6828125,0.5494252873563218,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/8187c22d-5fa4-4976-9c00-80b2ab66b97d___1290890d1411349145-take-look-number-plate-img_20140903_093600_hdr.jpg.jpeg,number_plate,550,534,0.18,0.4157303370786517,0.44363636363636366,0.6292134831460674,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/931dfd5a-3d1f-4a08-9234-0453545e27ea___1297127d1412798792-maruti-ciaz-official-review-imag0627.jpg.jpeg,number_plate,500,265,0.302,0.3886792452830189,0.72,0.7018867924528301,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/8625b831-13a1-4b7d-9466-826cd6d36c67___1304650d1414861991-number-plates-merchandise-canvas-ink-gurgaon-edit-closed-10471269_1537317779842156_5063668061078329632_n.jpg.jpeg,number_plate,774,642,0.35400516795865633,0.5358255451713395,0.6679586563307494,0.6713395638629284,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/3d7cd880-ea4b-4d63-9706-bea1df54af20___135712d1400874352-skoda-rapid-1-6tdi-cr-mt-elegance-ultima-candy-white-white-monster-1911216_676392609084007_1524722860_o.jpg.jpeg,number_plate,769,417,0.37971391417425226,0.6187050359712231,0.635890767230169,0.7673860911270983,,,,,,"extras:null
"
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb0646e9cf9016473f1a561002a/9cad4b47-6c7b-4e30-ab55-b7fa040beb56___135717d1400912281-skoda-rapid-1-6tdi-cr-mt-elegance-ultima-candy-white-white-monster-_mg_2993comp.jpg.jpeg,number_plate,468,366,0.1282051282051282,0.5901639344262295,0.3995726495726496,0.7650273224043715,,,,,,"extras:null
"
